"No..of.Tanks","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Fish.number","Responsible","Female.Parent.Genotype","Male.Parent.Genotype","Female.Parent.Stock","Male.Parent.Stock","Notes"
1,"17858","23-Oct-19","bach1b_1 and bach1b_2 dgRNP injected","Enter genotype",19,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17859","23-Oct-19","bach1a and bach1b dgRNP injected","Enter genotype",25,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17860","23-Oct-19","ebf3a_1 and ebf3a_2 dgRNP injected","Enter genotype",31,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17861","23-Oct-19","ebf3b_1 and ebf3b_2 dgRNP injected","Enter genotype",34,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17862","23-Oct-19","ebf3a and ebf3b dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17863","23-Oct-19","junba and junbb dgRNP injected","Enter genotype",32,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17864","23-Oct-19","m17_1 and m17_2 dgRNP injected","Enter genotype",25,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17865","23-Oct-19","nr1d1_1 and nr1d1_2 dgRNP injected","Enter genotype",28,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17866","23-Oct-19","stab1_1 and stab1_2 dgRNP injected","Enter genotype",18,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17867","23-Oct-19","uninjected siblings","Enter genotype",55,"DNK/MHM","Tu","Tu","16275","16275",""
1,"17957","5-Nov-19","apoeb_1 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17958","5-Nov-19","egr1_1 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17959","5-Nov-19","fosl1a_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17960","5-Nov-19","fosl1b_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17961","5-Nov-19","fosl1a_2 and fosl1b_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17962","5-Nov-19","foxg1c_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17963","5-Nov-19","rab44_ and _2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17964","5-Nov-19","spi1a_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17965","5-Nov-19","spi1b_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17966","5-Nov-19","spi1a_2 and spi1b_2 dgRNP injected","Enter genotype",40,"DNK/MHM","","","","",""
1,"17967","5-Nov-19","uninjected siblings","Enter genotype",40,"DNK/MHM","","","","",""
1,"17974","25-Nov-19","tc1a-/+;tc1b-/+ inx     tc1a___;tc1b___","Enter genotype",142,"DNK/MHM","tc1a-/+;tc1b-/+","tc1a-/+;tc1b-/+","16863","16863","Genotype"
1,"17975","25-Nov-19","tc1a-/+ inx                       tc1a___","Enter genotype",49,"DNK/MHM","tc1a-/+","tc1a-/+","16863","16863","Genotype"
1,"17976","25-Nov-19","tc1b-/+ inx               tc1b___","Enter genotype",106,"DNK/MHM","tc1b-/+","tc1b-/+","15548","15548","Genotype"
1,"18024","11-Nov-19","AB","Enter genotype",40,"MHM/RM","AB","AB","","",""
1,"18025","11-Nov-19","AB:EK","Enter genotype",40,"MHM/RM","AB","EK","","",""
1,"18026","13-Nov-19","aste1_1 and aste1_2 dgRNP injected ","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18027","13-Nov-19","dlb_1 and dlb_2 dgRNP injected ","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18028","13-Nov-19","junba_1 and junba_2 dgRNP injected ","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18029","13-Nov-19","junbb_1 and junbb_2 dgRNP injected ","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18030","13-Nov-19","junba and junbb dgRNP injected","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18031","13-Nov-19","pfkfb1_1 and pfkfb1_2 dgRNP injected","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18032","13-Nov-19","stab1_1 and stab1_2 dgRNP injected","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18033","13-Nov-19","zfp36l1a_1 dgRNP injected","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18034","13-Nov-19","zfp36l1b_1 dgRNP injected","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18035","13-Nov-19","zfp36l1a and zfp36l1b dgRNP injected","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18036","13-Nov-19","uninjected siblings","Enter genotype",40,"MHM/DNK","Tu","Tu","16275","16275",""
1,"18142","20-Nov-19","bach1a_1 and bach1a_2 dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18143","20-Nov-19","bach1b_1 and bach1b_2 dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18144","20-Nov-19","bach1a and bach1b dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18145","20-Nov-19","fosl1a_2 dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18146","20-Nov-19","fosl1b_2 dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18147","20-Nov-19","fosl1a and fosl1b dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18148","20-Nov-19","rab44_1 and rab44_2 dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18149","20-Nov-19","uninjected siblings","Enter genotype",40,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18155","22-Nov-19","Tg(-4.3actc1b:mstnb-2A-EGFP-L3)/+","Enter genotype",23,"MHM/Rm","AB:EK","Tg(-4.3actc1b:mstnb-2A-EGFP-L3)/+","","17137","G+;muscle"
1,"18156","22-Nov-19","Tg(-4.3actc1b:mstnb-2A-EGFP)_L3; mstnb __?__","Enter genotype",40,"MHM/RM","AB:EK","Tg(-4.3actc1b:mstnb-2A-EGFP)_L3; mstnb __?__","","17307","G+;muscle. Do not know if a wt or mstnb +/- was outcrossed"
1,"18237","3-Dec-19","ebf3a_1 and ebf3a_2 dgRNP injected","Enter genotype",30,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18238","3-Dec-19","ebf3a and ebf3b dgRNP injected ","Enter genotype",30,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18239","3-Dec-19","Tu uninjected siblings","Enter genotype",25,"DNK/MHM","Tu","Tu","16275","16275",""
1,"18268","6-Dec-19","mstnb:CreER-L1(male1)","Enter genotype",40,"MHM/RM","AB","mstnb:CreER- male 1 F0","","17670","F1 from male 1 F0"
1,"18269","6-Dec-19"," ctgfa:twist1a-2A-GFP-L1","Enter genotype",40,"MHM/RM","AB"," ctgfa:twist1a-2A-GFP-L1","","17252","G+"
1,"18270","6-Dec-19","HS:Twist1a-2AGFP-L1","Enter genotype",23,"MHM/RM","AB","HS:Twist1a-2AGFP-L1","","17046","G+"
1,"18271","6-Dec-19","HS:Twist1a-2AGFP-L3-A","Enter genotype",40,"MHM/RM","AB","HS:Twist1a-2AGFP-L3-A","","17635","G+"
1,"18272","6-Dec-19","HS:Twist1a-2AGFP-L3-B","Enter genotype",40,"MHM/RM","AB","HS:Twist1a-2AGFP-L3-B","","17636","G+"
1,"18298","10-Dec-19","Tg(hsp70:DN-MAML) inx","Enter genotype",110,"DNK/MHM","Tg(hsp70:DN-MAML)","Tg(hsp70:DN-MAML)","","","CFP+ lens - mix of hets and homozygotes"
1,"18303","11-Dec-19","ub:switchGFP intercross","Enter genotype",40,"MHM/RM","AB","ub:switchGFP","","16954","G+ screen for homozygotes"
1,"18323","10-Dec-19","Tg(hsp70:mKate-LSL-DN-MAML)","Enter genotype",77,"DNK/MHM","Tg(hsp70:mKate-LSL-DN-MAML)","Tg(hsp70:mKate-LSL-DN-MAML)","","","mKate+ (mix of hets and homozygotes)"
1,"18360","22-Dec-19","ctgfa +/- x ctgfa:twist1a-2A-GFP L1","Enter genotype",3,"MHM/RM","ctgfa +/-","ctgfa:twist1a-2A-GFP L1","15907","17251","check for GFP+ and ctgfa +/-"
1,"18361","20-Dec-19","mstnb:CreER-L1(male1) F1","Enter genotype",40,"MHM/RM","AB:Ek","mstnb:CreER-L1(male1)","","17670","geno for Cre"
1,"18362","20-Dec-19","mstnb:CreER-L1(male18) F1","Enter genotype",40,"MHM/RM","AB:Ek","mstnb:CreER-L1(male18) F1","","17670","geno for Cre"
1,"18389","31-Dec-19","ctgfa +/- x ctgfa:twist1a-2A-GFP L1","Enter genotype",40,"MHM/RM","ctgfa +/-","ctgfa:twist1a-2A-GFP L1","15903","17252","GFP+ : ctgfa +/-(rm 14feb20)"
1,"18390","31-Dec-19","ctgfa +/- ","Enter genotype",40,"MHM/RM","ctgfa +/-","ctgfa:twist1a-2A-GFP L1","15903","17252","GFP- from ctgaxctgfa:twist outcross"
1,"18415","7-Jan-20","ctgfa +/-","Enter genotype",40,"MHM/RM","ctgfa +/-","HS:twist1a-2a-GFP L1","15903","17042",""
1,"18416","7-Jan-20","ctgfa +/- x HS:twist1a-2a-GFP L1    ","Enter genotype",40,"MHM/RM","ctgfa +/-","HS:twist1a-2a-GFP L1","15903","17042","GFP+;ctgfa +/- by PCR(RM 26feb-20)"
1,"18417","7-Jan-20","ctgfa +/- x HS:twist1a-2a-GFP L3A","Enter genotype",40,"MHM/RM","ctgfa +/-","HS:twist1a-2a-GFPL3A","15903","17635","GFP+:ctgfa +/-"
1,"18418","7-Jan-20","mstnb:CreER-L3","Enter genotype",40,"MHM/RM","AB","msnbt:CreER male 18b","","17670",""
1,"18460","16-Jan-20","mstnb +/- x mstnb +/-","+/+ or +/- or -/-",80,"MHM/VMS","mstnb +/-","mstnb +/-","16488","16488","mstnb +/+ +/- -/-"
1,"18499","23-Jan-20","mstnb +/- x mstnb +/-","+/+ or +/- or -/-",65,"MHM/VMS","mstnb +/-","mstnb +/-","16488","16488","mstnb +/+  +/-  +/-"
1,"18622","4-Feb-20","ctgfa:CreER-L1","Enter genotype",40,"MHM/RM","AB*","ctgfa:CreER-L1","","15237","Genotype for Cre                                               Cre______"
1,"18623","4-Feb-20","huc:mcherry-NTR-L1","Enter genotype",40,"MHM/RM","AB*","huc:mcherry-NTR-L1","","15581","RFP+"
1,"18630","5-Feb-20","mstnb","+/+,+/-,-/-",180,"VMS/MHM","mstnb +/-","mstnb +/-","17073","17073","mstnb(+/-) inX"
1,"18631","5-Feb-20","tc1a-/+;tc1b-/+ inx     tc1a___;tc1b___","Enter genotype",138,"DNK/MHM","tc1-/+;tc1b-/+","tc1-/+;tc1b-/+","16863","16863",""
1,"18632","5-Feb-20","apoeb F0 #1 outx Tu - dk001","Enter genotype",80,"DNK/MHM","Tu","apoeb F0","17967","17957",""
1,"18633","5-Feb-20","apoeb F0 #2 outx Tu - dk002","Enter genotype",80,"DNK/MHM","Tu","apoeb F0","17967","17957",""
1,"18634","5-Feb-20","apoeb F0 #3 outx Tu - dk003","Enter genotype",80,"DNK/MHM","Tu","apoeb F0","17967","17957",""
1,"18635","5-Feb-20","apoeb F0 #4 outx Tu - dk004","Enter genotype",80,"DNK/MHM","Tu","apoeb F0","17967","17957",""
1,"18636","5-Feb-20","apoeb F0 #5 outx Tu - dk005","Enter genotype",80,"DNK/MHM","Tu","apoeb F0","17967","17957",""
1,"18637","5-Feb-20","bach1b F0 #1 outx Tu - dk006","Enter genotype",80,"DNK/MHM","bach1b F0","Tu","17858","17967",""
1,"18638","5-Feb-20","bach1b F0 #2 outx Tu - dk007","Enter genotype",80,"DNK/MHM","bach1b F0","Tu","17858","17967",""
1,"18639","5-Feb-20","bach1b F0 #3 outx Tu - dk008","Enter genotype",80,"DNK/MHM","bach1b F0","Tu","17858","17967",""
1,"18640","5-Feb-20","egr1  F0 #1 outx Tu - dk009","Enter genotype",80,"DNK/MHM","egr1 F0","Tu","17958","17967",""
1,"18641","5-Feb-20","egr1  F0 #2 outx Tu - dk010","Enter genotype",80,"DNK/MHM","egr1 F0","Tu","17958","17967",""
1,"18642","5-Feb-20","egr1  F0 #3 outx Tu - dk011","Enter genotype",80,"DNK/MHM","egr1 F0","Tu","17958","17967",""
1,"18643","5-Feb-20","nr1d1  F0 #1 outx Tu - dk012","Enter genotype",80,"DNK/MHM","nr1d1 G0","Tu","17865","17967",""
1,"18644","5-Feb-20","nr1d1  F0 #2 outx Tu - dk013","Enter genotype",80,"DNK/MHM","nr1d1 G0","Tu","17865","17967",""
1,"18645","5-Feb-20","spi1a F0 #1 outx Tu - dk014","Enter genotype",80,"DNK/MHM","spi1a G0","Tu","17964","17967",""
1,"18646","5-Feb-20","spi1a F0 #2 outx Tu - dk015","Enter genotype",80,"DNK/MHM","spi1a G0","Tu","17964","17967",""
1,"18647","5-Feb-20","spi1a F0 #3 outx Tu - dk016","Enter genotype",80,"DNK/MHM","spi1a G0","Tu","17964","17967",""
1,"18648","5-Feb-20","spi1a F0 #4 outx Tu - dk017","Enter genotype",80,"DNK/MHM","spi1a G0","Tu","17964","17967",""
1,"18669","12-Feb-20","Sox2-2A-GFP","Enter genotype",40,"MHM/RM","AB","Sox2-2A-GFP","","17388","GFP+"
1,"18675","14-Feb-20","Tu uninjected siblings","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814","Injection 8"
1,"18676","14-Feb-20","ddit3 dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814","Injection 8"
1,"18677","14-Feb-20","stmn2a dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814","Injection 8"
1,"18678","14-Feb-20","tcima dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814","Injection 8"
1,"18679","14-Feb-20","tcimb dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814","Injection 8"
1,"18680","14-Feb-20","tcima and tcimb dgRNP injected","Enter genotype",37,"DNK/MHM","Tu","Tu","17814","17814","Injection 8"
1,"18682","12-Feb-20","mstnb ; Tg(-4.3actc1b:mstnb-GFP-L1)","+/+,+/- ; GFP+",70,"VMS/MHM","Tg(-4.3actc1b:mstnb-GFP-L1)(GFP+)","mstnb +/-","17071","17073","Genotype for mstnb"
1,"18683","12-Feb-20","mstnb; Tg(Isl1:GFP)","+/+,+/-,-/- ; GFP+",70,"VMS/MHM","mstnb( +/-); Tg(Isl1:GFP)(GFP+)","mstnb( +/-); Tg(Isl1:GFP)(GFP+)","15333","15333","Genotype for mstnb"
1,"18684","12-Feb-20","mstnb; Tg(Olig2:GFP)","+/+,+/-,-/- ; GFP+",60,"VMS/MHM","mstnb( +/-); Tg(Olig2:GFP)(GFP+)","mstnb( +/-); Tg(Olig2:GFP)(GFP+)","15331","15331","Genotype for mstnb"
1,"18685","12-Feb-20","mstnb; Tg(Nestin:GFP)","Enter genotype",40,"VMS/MHM","mstnb( +/-); Tg(Nestin:GFP)(GFP+)","mstnb( +/-); Tg(Nestin:GFP)(GFP+)","15330","15330","Genotype for mstnb"
1,"18702","14-Feb-20","nm23-m1-F0","Enter genotype",80,"VMS/MHM","AB","AB","","","Guide1 and Guide2 injected into AB"
1,"18703","14-Feb-20","nm23-m2-F0","Enter genotype",80,"VMS/MHM","AB","AB","","","Guide3 and Guide4 injected into AB"
1,"18726","21-Feb-20","tg(ctgfa180E:GFP) injected FO","Enter genotype",40,"RM/MHM","AB","AB","","",""
1,"18727","21-Feb-20","Fkbp5-M1 (F0/F0)","F0/F0",80,"VMS/MHM","AB","AB","","","AB embryos injected with Fkbp5 guides 1 and 2"
1,"18731","25-Feb-20","ctgfa +/-","Enter genotype",40,"MHM/RM","ctgfa +/-","AB","18390","18024","genotype for ctgfa +/-"
1,"18732","25-Feb-20","ctgfa:CreER-L7 Cre_____","Enter genotype",40,"MHM/RM","AB","ctgfa:CreER-L7(clutch1)","16604","15238","genotype for Cre"
1,"18733","25-Feb-20","ctgfa:R-NTR L13","Enter genotype",40,"MHM/RM","AB","ctgfa:R-NTR-L13(clutch2)","16604","16554","RFP+"
1,"18748","27-Feb-20","Tg(Olig2:GFP);mstnb","GFP/? ; +/+ or +/- or -/-",120,"VMS/MHM","Tg(Olig2:GFP)(GFP/?);mstnb(+/-)","Tg(Olig2:GFP)(GFP/?);mstnb(+/-)","15331","15331","Three clutches of inX"
1,"18749","27-Feb-20","Tg(Nestin:GFP);mstnb","GFP/? ; +/+ or +/- or -/-",120,"VMS/MHM","Tg(Nestin:GFP)(GFP/?);mstnb(+/-)","Tg(Nestin:GFP)(GFP/?);mstnb(+/-)","15330","15330","Three clutches of inX"
1,"18750","27-Feb-20","Tg(Isl1:GFP);  mstnb","GFP/? ; +/+ or +/- or -/-",120,"VMS/MHM","Tg(Isl1:GFP)(GFP/?); mstnb(+/-)","Tg(Isl1:GFP)(GFP/?); mstnb(+/-)","15333","15333","clutch 2 "
1,"18751","27-Feb-20","Tg(HuC:GFP)(GFP/?);  mstnb(+/+ or +/- or -/-)","GFP/? ; +/+ or +/- or -/-",120,"VMS/MHM","Tg(HuC:GFP)(GFP/?); mstnb(+/-)","Tg(HuC:GFP)(GFP/?); mstnb(+/-)","15328","15328","Three clutches of inX"
1,"18752","27-Feb-20","Tg(-4.3actc1b:mstnb-2A-eGFP)-L1(GFP/+);  mstnb(+/+ or +/- )","GFP/+ ; +/+ or +/-",80,"VMS/MHM","Tg(-4.8mstnb:EGFP)-L10 (+/+); mstnb (+/-)","Tg(-43actc1b:mstnb-2A-eGFP)-L1(GFP/+);  mstnb(+/+ )","17073","17071","Only one clutch"
1,"18753","27-Feb-20","Tg(-4.3actc1b:mstnb-2A-eGFP)-L3(GFP/+);  mstnb(+/+ or +/- )","GFP/+ ; +/+ or +/-",80,"VMS/MHM","Tg(-43actc1b:mstnb-2A-eGFP)-L3(GFP/+);  mstnb(+/+ )","Tg(-4.8mstnb:EGFP)-L10 (+/+); mstnb (+/-)","17307","17073","2 clutches"
1,"18757","28-Feb-20","Cited-Crispr-M1 (F0/F0)","F0/F0",80,"VMS/MHM","AB","AB","","","AB embryos injected with Cited Crispr guides 17 and 18"
1,"18758","28-Feb-20","Cited-Crispr-M2 (F0/F0)","F0/F0",80,"VMS/MHM","AB","AB","","","AB embryos injected with Cited Crispr guides 17 and 19"
1,"18759","28-Feb-20","Tg(msntb:CreER)-L1 (Cre/+ or +/+); Tg(ubi:switch-GFP)(GFP/+) ","Cre/+ or +/+ ; GFP/+",14,"VMS/MHM","Tg(msntb:CreER)-L1 (Cre/+) ","Tg(ubi:switch-GFP)(GFP/+) ","18268","18303","Genotype for cre"
1,"18762","2-Mar-20","AB","Enter genotype",40,"MHM/RM","AB","AB","","",""
1,"18763","3-Mar-20","AB:EK","Enter genotype",40,"MHM/RM","AB","EK","16604","17490",""
1,"18764","3-Mar-20","kur-TM304","Enter genotype",40,"MHM/RM","AB","Kur-TM304","16604","15560","Genotype : +/- or +/+"
1,"18765","3-Mar-20","ctgfa +/- x ctgfa+/-; HS:twist1a-2A-GFP L1","Enter genotype",40,"MHM/RM","ctgfa +/-","ctgfa+/- x hs:twist1A-2a-GFP(hets for ctgfa)","18390","18416","GFP+:ctgfa +/+,+/-,-/-"
1,"18766","3-Mar-20","ctgfa +/- x ctgfa+/-; HS:twist1a-2A-GFP L1","Enter genotype",40,"MHM/RM","ctgfa +/-","ctgfa+/- x hs:twist1A-2a-GFP(hets for ctgfa)","18390","18416","GFP-: ctgfa +/+,+/-,-/-"
1,"18768","4-Mar-20","ddit3 dgRNP injected","Enter genotype",21,"DNK/MHM","Tu","Tu","17814","17814",""
1,"18769","4-Mar-20","stmn2a dgRNP injected","Enter genotype",33,"DNK/MHM","Tu","Tu","17814","17814",""
1,"18770","4-Mar-20","tcima dgRNP injected","Enter genotype",24,"DNK/MHM","Tu","Tu","17814","17814",""
1,"18771","4-Mar-20","tcimb dgRNP injected","Enter genotype",35,"DNK/MHM","Tu","Tu","17814","17814",""
1,"18772","4-Mar-20","tcima and tcimb dgRNP injected","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814",""
1,"18773","4-Mar-20","uninjected Tu siblings","Enter genotype",40,"DNK/MHM","Tu","Tu","17814","17814",""
1,"18787","5-Mar-20","Tg(mstn-creER)-L3 (+/+ or Cre/+); Tg(ubi:switch-GF)(GFP/+)","Cre/+ or +/+ ; GFP/+",80,"VMS/MHM","Tg(mstn-creER)-L3 (Cre/+)","Tg(ubi:switch-GF)(GFP/+)","18418","18303","Clutch-1"
1,"18788","5-Mar-20","Tg(Sox2A:GFP)","GFP/+",80,"VMS/MHM","Tg(sox2A:GFP)","AB","17388","18024","Clutch-2"
1,"18803","11-Mar-20","tcima+/-;tcimb+/- het inx                                  tcima_____;tcimb_____","Enter genotype",276,"DNK/MHM","tcima+/-;tcimb+/-","tcima+/-;tcimb+/-","16863","16863","genotype for tcima and tcimb"
1,"18804","11-Mar-20","bach1a F0 #1 outx Tu                                             dk018","Enter genotype",40,"DNK/MHM","bach1a F0","Tu","18142","16275",""
1,"18805","11-Mar-20","bach1a F0 #2 outx Tu                                             dk019","Enter genotype",33,"DNK/MHM","bach1a F0","Tu","18142","16275",""
1,"18806","11-Mar-20","bach1a F0 #3 outx Tu                                             dk020","Enter genotype",80,"DNK/MHM","bach1a F0","Tu","18142","16275",""
1,"18807","11-Mar-20","junbb F0 #1 outx Tu                                             dk021","Enter genotype",80,"DNK/MHM","bach1a F0","Tu","18029","16275",""
1,"18808","11-Mar-20","junbb F0 #2 outx Tu                                             dk022","Enter genotype",80,"DNK/MHM","bach1a F0","Tu","18029","16275",""
1,"18809","11-Mar-20","zfp36l1a F0 #1 outx Tu                                             dk023","Enter genotype",80,"DNK/MHM","bach1a F0","Tu","18033","16275",""
1,"18810","11-Mar-20","zfp36l1a F0 #2 outx Tu                                             dk024","Enter genotype",80,"DNK/MHM","bach1a F0","Tu","18033","16275",""
1,"18811","11-Mar-20","Tg(mpeg:YFP)/+","Enter genotype",33,"DNK/MHM","EKAB","Tg(mpeg:YFP)","17490","16596","YFP+"
1,"18815","10-Mar-20","Tg(mstn-creER)-L1 ; Tg(ubi:switch-GF)","+/+ or Cre/+ ; GFP/+",120,"VMS/MHM","Tg(mstn-creER)-L1 (Cre/+)","Tg(ubi:switch)(GFP/GFP)","18268","18303","Genotype for cre"
1,"18843","13-Mar-20","ctgfa+/- x ctgfa+/-;ctgfa;twist1a-2a-GFP L1 GFP+ ctgfa_____","Enter genotype",40,"MHM/RM","ctgfa+/-","ctgfa+/-;ctgfa;twist1a-2a-GFP L1","18390","18389","G+  genotype ctgfa +/+, +/-, -/-"
1,"18844","13-Mar-20","ctgfa+/- x ctgfa+/-;ctgfa;twist1a-2a-GFP L1 GFP-ctgfa_____","Enter genotype",40,"MHM/RM","ctgfa+/-","ctgfa+/-;ctgfa;twist1a-2a-GFP L1","18390","18389","G- genotype ctgfa +/+, +/-, -/-"
1,"18845","13-Mar-20","ctgfa+/- x ctgfa+/-;HS:twist1a-2A-GFP L1 GFP+ ctgfa______","Enter genotype",40,"MHM/RM","ctgfa+/-","ctgfa+/-;HS:twist1a-2A-GFP L1","18390","18416","G+  genotype ctgfa +/+, +/-, -/-"
1,"18846","13-Mar-20","ctgfa+/- x ctgfa+/-;HS:twist1a-2A-GFP L1 GFP- ctgfa_______","Enter genotype",40,"MHM/RM","ctgfa+/-","ctgfa+/-;HS:twist1a-2A-GFP L1","18390","18416","G- genotype ctgfa +/+, +/-, -/-"
1,"18853","18-Mar-20","AB*","Enter genotype",40,"MHM/RM","AB*","AB*","","",""
1,"18854","19-Mar-20","AB:EK","Enter genotype",40,"MHM/RM","AB","EK","16604","17490",""
1,"18855","19-Mar-20","EK","Enter genotype",40,"MHM/RM","EK","EK","17490","17490",""
1,"18856","19-Mar-20","Tg(-4-ctgfa:GFP L5)","Enter genotype",40,"MHM/RM","Tg(-4-ctgfa:GFP L5)","AB","15665","18024","G+"
1,"18857","19-Mar-20","Tg(ub:switch);Tg(ctgfa:CreER-L1) G+ Cre____","Enter genotype",40,"MHM/RM","Tg(ub:switch-GFP)","Tg(ctgfa:CreER L1)","18303","15237","G+ genotype for Cre"
1,"18858","19-Mar-20","Tg(ub:switch);Tg(ctgfa:CreER-L7) G+ Cre____","Enter genotype",40,"MHM/RM","Tg(ub:switch-GFP)","Tg(ctgfa:CreER L7)","18303","15238","G+ genotype for Cre"
1,"18878","18-Mar-20","Tg(mstn:creER)-L3; Tg(ubi:Switch-GFP) (GFP/+)","Cre/+ or +/+ ; GFP/+",40,"VMS/MHM","Tg(ubi:Switch-GFP) (GFP/GFP)","Tg(mstn:creER)-L3(Cre/+)","18303","18418","Genotype for Cre"
1,"18879","18-Mar-20","Tg(HUC:NTR-mcherry)-L1; casper","mcherry/+",80,"VMS/MHM","Tg(HUC:NTR-mcherry)-L1(mcherry/+)","Casper","17433","17592","Two Clutches"
1,"18880","19-Mar-20","Tg(Sox2A-GFP)","GFP/+",40,"VMS/MHM","AB","Tg(Sox2A:GFP) (GFP/+)","18024","17388",""
1,"18881","20-Mar-20","mstn; Tg(HB9:GFP)(GFP/+)","bns5/+ or +/+ ; GFP/+",80,"VMS/MHM","mstn(bns5/+)","Tg(HB9-GFP)(GFP/+)","17073","15580","Genotype for mstn"
1,"18882","20-Mar-20","mstn; Tg(Dbx:GFP)","bns5/+ or +/+ ; GFP/+",80,"VMS/MHM","Tg(Dbx:GFP)(GFP/+)","mstn(bns5/+)","16343","17073","Genotype for mstn"
1,"18904","24-Mar-20","ctgfa+/- x ctgfa+/-;HS:twist1a-2A-GFP-L3a","Enter genotype",40,"MHM/RM",";HS:twist1a-2A-GFP-L3a","ctgfa+/-","18417","18390","GFP+ Clutch1"
1,"18905","24-Mar-20","ctgfa+/- x ctgfa+/-;HS:twist1a-2A-GFP-L3a","Enter genotype",40,"MHM/RM",";HS:twist1a-2A-GFP-L3a","ctgfa+/-","18417","18390","GFP- clutch 1"
1,"18906","24-Mar-20","ctgfa+/- x ctgfa+/-;HS:twist1a-2A-GFP-L3a","Enter genotype",40,"MHM/RM",";HS:twist1a-2A-GFP-L3a","ctgfa+/-","18417","18390","GFP+ Clutch2"
1,"18907","24-Mar-20","ctgfa+/- x ctgfa+/-;HS:twist1a-2A-GFP-L3a","Enter genotype",40,"MHM/RM",";HS:twist1a-2A-GFP-L3a","ctgfa+/-","18417","18390","GFP- clutch 2"
1,"18908","26-Mar-20","hsp:DNYAP-2A-mcherry","Enter genotype",25,"MHM/RM","AB:EK","ctgfa:GFP-L9;hsp:DNYAP-2A-mcherry","","16196"," "
1,"18909","1-Apr-20","ddit4-M1-L2 ix","Enter genotype",40,"MHM/RM","ddit4-M1-L2","ddit4-M1-L2","16384","16384","genotype +/+, +/-, -/-"
1,"18910","1-Apr-20","Gata2:GFP x mstnb +/-","Enter genotype",40,"MHM/RM","Gata2:GFP","mstnb +/-","17615","18460","GFP+"
1,"18918","8-Apr-20","mstnb+/- x mstnb +/-","Enter genotype",40,"MHM/RM","mstnb +/-","mstnb +/-","17073","17073","genotype +/+, +/-, -/-"
1,"18919","8-Apr-20","mstnb+/- x glyT2:GFP","Enter genotype",40,"MHM/RM","mstnb +/-"," glyT2:GFP","17073","15437","GFP+ geno for mstnb"
